Gene	TL3_kDeg	TL3_Half Life
NDUFS5	0.000431345	1606.601013
UQCRH	0.001970507	351.6861703
ATP5PB	0.00129239	536.2160145
NDUFS2	0.003269382	211.9666862
SDHC	0.003178156	218.0509961
SDHB	0.001448508	478.4231748
ATPAF1	0.001860017	372.5772183
COX5B	0.000854124	811.3579923
NDUFB3	0.000434371	1595.40879
COX7A2L	0.00209848	330.2390665
ATP5MC3	0.004850424	142.8741159
NDUFS1	0.002689543	257.6646393
NDUFA10	0.007750278	89.41614391
NDUFB4	0.002656671	260.8527544
NDUFB5	0.001839789	376.6736687
UQCRC1	0.000666664	1039.504864
NDUFC1	0.001955806	354.3295921
SDHA	0.003009953	230.2361576
NDUFS6	0.004629327	149.6977728
NDUFS4	0.000712681	972.3844641
COX7C	0.002742795	252.6619597
UQCRQ	0.00218757	316.7899144
NDUFA2	0.003789209	182.8877673
COX7A2	0.000650891	1064.693984
NDUFB2	0.010837774	63.94301733
NDUFA4	0.001243838	557.146447
NDUFA5	0.001541263	449.6312021
NDUFB9	0.001647883	420.5394981
CYC1	0.000677897	1022.27968
UQCRB	0.001018959	680.1057402
COX6C	0.003532403	196.1837533
NDUFB6	0.000384169	1803.895138
NDUFA8	0.001073516	645.5422613
ATP5F1C	0.00051884	1335.672371
NDUFB8	0.001828718	378.9540095
NDUFS3	0.003322657	208.5679932
COX8A	0.000446144	1553.308951
NDUFV1	0.002082592	332.7583743
NDUFS8	0.004289201	161.5685614
SDHD	0.001693104	409.307509
NDUFC2	0.000976296	709.8258697
NDUFA9	0.001499066	462.2877515
COX6A1	0.000602046	1151.07503
ATP5MC2	0.002629082	263.590062
ATP5F1B	0.000872292	794.4585079
NDUFA12	0.001514346	457.6234207
NDUFB1	0.014346978	48.30285509
COX5A	0.002463734	281.2804025
NDUFB10	0.000934484	741.5861195
UQCRC2	0.001575443	439.8762038
COX4I1	0.000689111	1005.643277
NDUFAB1	0.000715384	968.7105088
VPS9D1	0.00420794	164.688661
ATP5MC1	0.003855233	179.7556507
ATPAF2	0.004125633	167.9742267
NDUFV2	0.002447238	283.176391
ATP5F1A	0.001713978	404.3225413
ATP5F1D	7.64E-05	9073.890096
NDUFS7	0.006042038	114.696401
NDUFA13	0.001793955	386.2972341
COX6B1	0.000684203	1012.857958
NDUFA3	0.006380861	108.6060413
UQCR11	0.002414998	286.9567548
NDUFA11	0.001989096	348.3994988
NDUFA7	0.002670753	259.4774047
NDUFB7	0.000234228	2958.652961
UQCRFS1	0.002020976	342.9036498
ATP5F1E	0.006042204	114.6932436
NDUFV3	0.004489399	154.3636502
ATP5PO	0.001207992	573.6795295
UQCR10	0.000834023	830.911902
NDUFA6	0.001041641	665.2964882
COX7B	0.001803527	384.2470428
NDUFA1	0.002446858	283.220303
NDUFB11	0.00076257	908.7692632
